Scientific name;Common name;N;EPP;Nbr;EPbr;Lat;Long;Habitat;Remarks;Ref
Phoebastria irrorata;waved albatross;16;25;16;25;-1.38;-89.62;-;;-276
Phoebastria irrorata;waved albatross;154;16.9;154;16.9;-1.38;-89.62;-;;-277
Phoenicurus ochruros;black redstart;222;28.8;53;30.2;47.97;11.23;3,9;;-278
Phoenicurus phoenicurus;common redstart;253;2;38;10.5;62.47;11.8;1,3,8,9;;-279
Phylidonyris pyrrhopterus;crescent honeyeater;19;57.9;-;-;-39.03;146.33;1,3,8,7;;-181
Phylloscopus fuscatus;dusky warbler;195;45.1;46;58.7;59.85;154.02;8,3,6,11,12;;-280
Phylloscopus sibilatrix;wood warbler;6;16.7;3;33.3;47.42;7.55;1,3;Control dataset;-281
Phylloscopus sibilatrix;wood warbler;56;0;13;0;-;-;1,3;;-282
Phylloscopus trochilus;willow warbler;109;33;20;50;61.42;8.87;1,3,6,10;;-283
Phylloscopus trochilus;willow warbler;68;27.9;12;58.3;56.92;18.12;1,3,6,10;;-284
Phylloscopus trochilus;willow warbler;200;23.5;34;47.1;56.28;-2.7;1,3,6,10;;-285
Phylloscopus trochilus;willow warbler;120;0;19;0;59.32;18;1,3,6,10;;-282
Picoides tridactylus;Eurasian three-toed woodpecker;80;2.5;26;7.7;61.18;25.1;-;Some quasi-parasitism;-286
Picoides tridactylus;Eurasian three-toed woodpecker;55;7.3;26;15.4;47.53;12.93;-;;-287
Pipilo maculatus;spotted towhee;575;26.3;228;44.3;45.5;-122.68;6,7,8;;-288
Piranga olivacea;scarlet tanager;54;16.7;17;29.4;41.77;-79.93;1,8,9;;-289
Platalea ajaja;roseate spoonbill;74;2.7;37;5.4;-32.48Ä;-50.40Ä;-;Sibship analyses, sampled over large geographic range;-29
;;;;;;1.93;-56.97;;;
Plectrophenax nivalis;snow bunting;380;10.8;91;20.9;78.22;15.63;14,16;;-290
Pluvialis dominica;American golden plover;131;7.6;37;16.2;71.29;-156.8;-;;-291
Poephila acuticauda;long-tailed finch;391;12.8;101;25.7;-15.55;128;2;;-292
Porphyrio hochstetteri;takahe;27;0;9;0;-36.4?Ä;173.88Ä;-;Sampled over large geographic range;-293
;;;;;;-41.08;174.9;;;
Progne subis;purple martin;1235;22.1;297;46.1;42.13;-80.3;1,3,8;;-294
Progne subis;purple martin;138;18.8;-;-;39.08;-76.57;1,3,8;;-295
Promerops cafer;Cape sugarbird;185;64.9;104;70.2;-34;18.97;6,9;;-296
Prosthemadera novaeseelandiae;tui;163;55.2;57;71.9;-36.37;174.83;6,8,7,9;;-297
Puffinus tenuirostris;short-tailed shearwater;83;10.8;83;10.8;-43.1;147.42;-;;-298
Pygoscelis adeliae;Ad‚lie penguin;22;9.1;18;11.1;-74.35;165.13;-;;-299
Pygoscelis antarcticus;chinstrap penguin;76;0;38;0;-63;-60.67;-;;-300
Quelea quelea;red-billed quelea;56;21.4;37;32.4;-21.08;31.92;4;Difficult to extract sample sizes;-301
Ramphocelus costaricensis;Cherrie?s tanager;55;49.1;31;54.8;8.7;-83.2;6,8,4,9;;-302
Remiz coronatus;white-crowned penduline tit;29;0;5;0;42.42;70.48;1,3,9;;-303
Rhipidura fuliginosa;grey fantail;49;55.1;25;64;-35.45;149.28;1,3,8,13;;-304
Riparia riparia;sand martin;167;13.8;45;35.6;56.2;-3.98;3,9,4;;-305
Riparia riparia;sand martin;168;20.2;41;36.6;48.3;21.08;3,9,4;;-306
Rissa tridactyla;black-legged kittiwake;119;0;86;0;48.08;-4.58;-;;-307
Sayornis phoebe;Eastern phoebe;769;5.1;174;9.2;38.9;-86.9;1,8,3;;-308
Sayornis phoebe;Eastern phoebe;76;11.8;20;20;44.57;-76.32;1,8,3;;-309
Serinus canaria;canary;45;0;15;0;32.58;-16.47;1,8,9;;-310
Serinus serinus;serin;139;9.4;47;14.9;37.87;-3.92;1,9;;-311
Serinus serinus;serin;61;0;21;0;40.17;-8.55;1,9;;-312
Setophaga ruticilla;American redstart;81;44.4;28;64.3;41.77;-79.93;1,6,8;;-313
Setophaga ruticilla;American redstart;108;39.8;32;59.4;45.07;-67.03;1,6,8;;-314
Setophaga ruticilla;American redstart;239;23.4;75;42.7;44.57;-76.32;1,6,8;;-315
Sialia currucoides;mountain bluebird;465;36.3;92;71.7;44.63;-107;3,4,2,1;;-316
Sialia currucoides;mountain bluebird;900;32;177;65;51;-122;3,4,2,1;Control dataset;-317
Sialia sialis;Eastern bluebird;83;8.4;21;23.8;44.57;-76.32;1,2,3,9;;-318
Sitta europaea;European nuthatch;188;9.6;32;37.5;48.53;9.05;1,8;;-319
Spheniscus humboldti;Humboldt penguin;49;0;21;0;-15.37;-75.2;-;;-320
Spiza americana;dickcissel;218;38.5;92;52.2;39.08;-96.58;4;;-321
Spizella pusilla;field sparrow;308;9.7;80;40;40.2;-87.72;1,6,9;;-322
Steganopus tricolor;Wilson?s phalarope;43;0;15;0;51.45;-105.17;-;;-323
Sterna hirundo;common tern;102;1;34;2.9;53.52;8.08;-;;-324
Sterna hirundo;common tern;29;0;10;0;45.35;12.27;-;;-325
Strix aluco;tawny owl;137;0.7;37;2.7;46;6;-;;-326
Sturnus unicolor;spotless starling;334;15.9;96;41.7;40.5;-4;1,3,9;;-327
Sturnus unicolor;spotless starling;202;15.3;20;65;40.5;-4;1,3,9;Control dataset;-328
Sturnus vulgaris;common starling;196;16.8;48;43.8;46.52;6.57;1,3,9;;-329
Sturnus vulgaris;common starling;62;9.7;14;28.6;51.22;4.67;1,3,9;;-330
Sturnus vulgaris;common starling;157;15.9;37;40.5;55.72;13.45;1,3,9;;-331
Sula dactylatra;masked booby;6;0;6;0;-18.17;-39.33;-;;-332
Sula granti;Nazca booby;32;0;21;0;-1.33;-89.67;-;;-333
Sula nebouxii;blue-footed booby;799;6.9;453;10.6;21.87;-105.9;-;;-334
Sula sula;red-footed booby;14;0;14;0;-1.33;-89.67;-;;-335
Tachycineta albilinea;mangrove swallow;97;15.5;31;25.8;9.17;-79.85;1,3;;-336
Tachycineta bicolor;tree swallow;63;33.3;11;63.6;44.57;-76.32;3,12;Control dataset;-337
Tachycineta bicolor;tree swallow;111;68.5;25;84;44.7;-76.2;3,12;Data from natural nest holes;-338
Tachycineta bicolor;tree swallow;529;51.4;106;74.5;44.57;-76.32;3,12;;-339
Tachycineta bicolor;tree swallow;67;55.2;13;84.6;44.58;-66.77;3,12;;-339
Tachycineta bicolor;tree swallow;365;47.9;67;82.1;44.57;-76.32;3,12;;-340
Tachycineta bicolor;tree swallow;-;-;23;69.6;43.38;-88.02;3,12;;-341
Tachycineta bicolor;tree swallow;3438;49;587;84;45;-74;3,12;;-342
Tachycineta bicolor;tree swallow;216;35.2;40;85;53;-123;3,12;;-343
Tachycineta bicolor;tree swallow;502;47.2;99;82.8;44.57;-76.32;3,12;;-344
Tachycineta bicolor;tree swallow;-;-;248;83.9;45;-74;3,12;;-345
Tachycineta bicolor;tree swallow;281;48.8;54;88.9;43.38;-88.02;3,12;;-346
Tachycineta bicolor;tree swallow;439;38.5;-;-;43.38;-88.02;3,12;;-347
Tachycineta leucorrhoa;white rumped swallow;342;56.4;78;76.9;-35.57;-58.02;3,9,12;;-348
Tachycineta meyeni;Chilean swallow;161;6.8;52;13.5;-54.73;-68.2;3,9,12;;-349
Taeniopygia guttata;zebra finch;82;2.4;25;8;-36.15;145.43;3,4;;-350
Taeniopygia guttata;zebra finch;316;1.6;80;5;-31.08;142.7;3,4;;-351
Thalassarche cauta;shy albatross;29;6.9;29;6.9;-40.38;144.65;-;;-352
Thalassarche chrysostoma;grey-headed albatross;83;7.2;90;6.7;-54;-38;-;;-86
Thalassarche melanophrys;black-browed albatross;87;5.7;90;5.6;-54;-38;-;;-86
Thalassoica antarctica;Antarctic petrel;41;7.3;41;7.3;-71.88;5.17;-;;-353
Thamnophilus atrinucha;black-crowned antshrike;89;3.4;50;4;9.22;-79.65;8;;-354
Thryothorus ludovicianus;Carolina wren;84;0;23;0;34.82;-87.63;1,8,9;;-355
Thryothorus pleurostictus;banded wren;156;4.5;50;10;10.67;-85.5;6,8;;-356
Thryothorus rufalbus;rufous-and-white wren;158;1.9;51;5.9;10.67;-85.5;8;;-357
Tockus monteiri;Monteiro?s hornbill;135;0;38;0;-22.53;16.97;-;;-358
Troglodytes aedon;house wren;1772;16.4;361;35.2;40.67;-88.88;1,3,8,9;;-359
Troglodytes aedon;house wren;54;1.9;9;11.1;49.38;-88.02;1,3,8,9;Control dataset;-360
Troglodytes aedon;house wren;857;13.5;181;37.6;42.52;-76.47;1,3,8,9;;-361
Troglodytes aedon;house wren;-;-;46;45.7;44.68;-106.98;1,3,8,9;Control dataset;-362
Troglodytes aedon;house wren;316;12.7;79;63.3;44.67;-105.93;1,3,8,9;;-363
Troglodytes aedon;house wren;377;24.9;82;53.7;42.52;-76.47;1,3,8,9;;-364
Troglodytes aedon;house wren;166;15.7;40;32.5;-36.43;-56.94;1,3,8,9;;-364
Troglodytes aedon;house wren;584;10.1;103;28.2;43.38;-88.02;1,3,8,9;;-365
Troglodytes aedon;house wren;790;8.4;146;26.7;40.67;-88.88;1,3,8,9;;-366
Troglodytes troglodytes;Eurasian wren;153;16.3;29;37.9;53.13;6.58;1,3,8,9;;-367
Turdus albicollis;white-necked thrush;22;18.2;11;36.4;-24.07;-47.97;1,3,6,8,9;;-368
Turdus grayi;clay-colored robin;37;37.8;19;52.6;9.12;-79.7;1,3,8,9;;-369
Turdus migratorius;American robin;187;48.1;64;71.9;40.03;-88.17;1,3,8,9;;-370
Tyrannus forficatus;scissor-tailed flycatchers;168;48.8;44;65.9;34.77;-98.48;1,3,2,4,15;Text reports 42 nests, but table reports 44;-371
Tyrannus tyrannus;Eastern kingbird;264;47;89;60.7;43;-119;1,3,8,9,15;;-372
Tyrannus tyrannus;Eastern kingbird;64;42.2;20;60;43.3;-74.88;1,3,8,9,15;;-373
Tyto alba;barn owl;455;1.3;95;2.1;46.82;6.95;-;;-374
Upupa epops;Eurasian hoopoe;254;3.9;41;17.1;46.33;7.67;-;;-375
Upupa epops;Eurasian hoopoe;126;7.1;36;13.9;37;-3;-;;-376
Uria aalge;common murres;77;7.8;77;7.8;51.75;-5.28;-;;-377
Uria lomvia;thick-billed murres;27;7.4;27;7.4;62;-83;-;;-378
Vermivora chrysoptera;golden-winged warbler;62;38.7;17;76.5;44.57;-76.32;1,6;;-379
Vireo griseus;white-eyed vireo;102;2;36;5.6;31.4;-97.8;6,7;;-380
Vireo olivaceus;red-eyed vireo;19;57.9;7;57.1;41;-79;8;;-381
Vireo solitarius;blue-headed vireo;37;2.7;16;6.2;41;-79;8;;-381
Volatinia jacarina;blue-black grassquits;20;50;11;63.6;-15.95;-47.93;4,6;;-382
Volatinia jacarina;blue-black grassquits;208;21.2;95;30.5;-15.93;-47.93;4,6;;-383
Wilsonia citrina;hooded warbler;356;26.7;119;35.3;41;-79;1,7,8;;-384
Zonotrichia albicollis;white-throated sparrow;1183;15.4;379;26.6;44.15;-74.78;8,9;;-385
Zonotrichia albicollis;white-throated sparrow;89;18;32;31.2;44.15;-74.78;8,9;Data for two morphs combined;-386
Zonotrichia capensis;rufous-collared sparrow;24;41.7;11;63.6;-0.35;-78.15;6,3,9;;-387
Zonotrichia capensis;rufous-collared sparrow;23;52.2;10;60;-0.12;-77.92;6,3,9;;-387
Zonotrichia leucophrys;white-crowned sparrow;68;47.1;28;64.3;48.02;-122.05;1,6,9;;(42, 388)
Zonotrichia leucophrys;white-crowned sparrow;342;41.2;96;44.8;38.57;-119.03;1,6,9;;-389
Zonotrichia leucophrys;white-crowned sparrow;189;29.1;62;38.7;43.16;-124.41;1,6,9;;-390
Zosterops lateralis;capricorn silvereye;122;0;53;0;-23.43;151.9;1,3,6,8,9;;-391
